iter	Passed	Remaining
0	138	138751
1	141	70670
2	143	47820
3	146	36479
4	148	29579
5	149	24823
6	150	21418
7	152	18896
8	153	16956
9	155	15430
10	157	14175
11	159	13112
12	160	12194
13	163	11513
14	164	10830
15	166	10215
16	168	9722
17	169	9262
18	171	8850
19	172	8476
20	174	8129
21	175	7801
22	177	7525
23	178	7241
24	179	6993
25	180	6763
26	181	6543
27	182	6351
28	184	6164
29	185	5984
30	186	5820
31	187	5667
32	188	5522
33	189	5391
34	191	5271
35	192	5149
36	194	5050
37	195	4953
38	197	4857
39	198	4764
40	199	4672
41	201	4588
42	202	4508
43	204	4447
44	206	4387
45	208	4325
46	209	4252
47	211	4186
48	212	4123
49	214	4076
50	215	4012
51	216	3955
52	218	3898
53	219	3842
54	220	3789
55	222	3753
56	224	3709
57	225	3663
58	227	3630
59	229	3594
60	230	3553
61	232	3519
62	235	3496
63	236	3454
64	237	3414
65	238	3373
66	239	3341
67	241	3311
68	242	3274
69	243	3239
70	246	3222
71	248	3197
72	249	3166
73	250	3137
74	251	3106
75	253	3080
76	254	3051
77	255	3023
78	257	2997
79	258	2971
80	259	2943
81	260	2921
82	261	2890
83	262	2864
84	264	2843
85	266	2828
86	267	2808
87	268	2786
88	270	2765
89	271	2743
90	273	2728
91	274	2706
92	275	2687
93	277	2669
94	278	2651
95	280	2638
96	281	2621
97	282	2603
98	284	2586
99	285	2569
100	286	2551
101	287	2532
102	289	2520
103	291	2507
104	292	2491
105	293	2474
106	294	2460
107	295	2443
108	297	2430
109	298	2417
110	300	2403
111	301	2387
112	302	2373
113	303	2359
114	304	2345
115	305	2330
116	306	2314
117	308	2302
118	309	2291
119	311	2282
120	312	2270
121	313	2256
122	314	2245
123	316	2233
124	317	2222
125	319	2213
126	320	2200
127	321	2191
128	323	2181
129	324	2169
130	325	2158
131	326	2147
132	328	2138
133	328	2126
134	330	2116
135	331	2106
136	332	2095
137	334	2088
138	335	2081
139	337	2072
140	338	2061
141	339	2048
142	340	2041
143	342	2035
144	343	2026
145	345	2018
146	346	2008
147	347	1999
148	348	1991
149	349	1982
150	351	1974
151	352	1965
152	353	1956
153	354	1949
154	356	1941
155	357	1932
156	359	1932
157	361	1927
158	362	1918
159	364	1912
160	365	1906
161	366	1897
162	367	1888
163	368	1880
164	370	1872
165	371	1866
166	372	1858
167	373	1851
168	375	1847
169	377	1842
170	378	1835
171	379	1827
172	380	1821
173	382	1815
174	384	1813
175	385	1806
176	387	1799
177	388	1793
178	389	1786
179	390	1779
180	391	1771
181	392	1764
182	393	1757
183	394	1750
184	395	1743
185	397	1738
186	398	1732
187	399	1727
188	401	1721
189	403	1720
190	405	1715
191	406	1711
192	408	1706
193	409	1701
194	411	1700
195	413	1696
196	414	1690
197	416	1685
198	417	1679
199	418	1672
200	419	1666
201	420	1660
202	421	1654
203	422	1649
204	423	1643
205	424	1637
206	426	1633
207	427	1629
208	428	1622
209	429	1616
210	430	1610
211	431	1605
212	433	1602
213	435	1598
214	436	1594
215	437	1588
216	439	1584
217	441	1582
218	442	1576
219	443	1572
220	444	1566
221	445	1561
222	446	1556
223	448	1552
224	449	1549
225	451	1545
226	452	1541
227	454	1539
228	455	1534
229	457	1531
230	458	1526
231	460	1522
232	461	1518
233	462	1514
234	464	1512
235	466	1509
236	467	1504
237	468	1500
238	469	1495
239	471	1493
240	473	1490
241	475	1488
242	476	1483
243	477	1479
244	478	1475
245	479	1470
246	481	1466
247	482	1463
248	484	1459
249	485	1455
250	486	1452
251	488	1449
252	489	1445
253	491	1443
254	492	1439
255	494	1437
256	496	1435
257	498	1432
258	499	1430
259	501	1427
260	503	1424
261	505	1424
262	507	1420
263	508	1416
264	509	1412
265	510	1408
266	511	1403
267	512	1399
268	513	1395
269	514	1391
270	515	1386
271	516	1382
272	518	1380
273	519	1376
274	521	1373
275	522	1370
276	523	1367
277	525	1364
278	527	1362
279	528	1359
280	530	1356
281	531	1352
282	532	1349
283	533	1345
284	535	1342
285	536	1338
286	537	1334
287	538	1331
288	540	1329
289	541	1325
290	542	1322
291	543	1319
292	545	1316
293	546	1312
294	548	1309
295	549	1306
296	550	1302
297	551	1298
298	552	1295
299	553	1291
300	554	1287
301	556	1285
302	557	1281
303	558	1278
304	559	1274
305	560	1271
306	561	1267
307	562	1264
308	563	1261
309	565	1258
310	575	1275
311	578	1275
312	580	1273
313	581	1270
314	583	1268
315	584	1264
316	585	1261
317	586	1257
318	587	1254
319	588	1250
320	589	1247
321	591	1244
322	592	1240
323	593	1238
324	594	1234
325	595	1231
326	596	1227
327	599	1227
328	600	1225
329	603	1224
330	604	1221
331	605	1219
332	606	1215
333	607	1212
334	609	1209
335	611	1207
336	612	1204
337	613	1200
338	614	1198
339	615	1194
340	616	1191
341	617	1188
342	618	1185
343	619	1181
344	620	1178
345	621	1174
346	622	1171
347	624	1169
348	624	1165
349	625	1162
350	626	1158
351	627	1155
352	628	1152
353	630	1149
354	631	1146
355	631	1143
356	633	1140
357	634	1137
358	635	1134
359	636	1131
360	637	1128
361	638	1125
362	639	1122
363	640	1119
364	641	1116
365	643	1114
366	644	1110
367	645	1108
368	646	1106
369	648	1104
370	649	1101
371	651	1099
372	652	1096
373	653	1093
374	654	1091
375	656	1088
376	657	1086
377	658	1084
378	659	1081
379	660	1078
380	661	1075
381	663	1073
382	665	1071
383	666	1069
384	667	1066
385	668	1063
386	670	1061
387	671	1059
388	672	1056
389	673	1053
390	674	1050
391	675	1048
392	676	1045
393	678	1044
394	680	1042
395	681	1040
396	683	1037
397	683	1034
398	685	1031
399	686	1030
400	688	1028
401	689	1026
402	690	1023
403	692	1020
404	693	1018
405	694	1016
406	695	1013
407	696	1011
408	697	1008
409	698	1005
410	699	1002
411	700	1000
412	702	998
413	703	995
414	704	993
415	705	990
416	706	988
417	707	985
418	709	983
419	709	980
420	711	978
421	712	975
422	713	973
423	714	970
424	715	968
425	716	965
426	718	963
427	719	961
428	720	959
429	721	956
430	722	954
431	724	952
432	725	949
433	726	946
434	727	944
435	728	941
436	729	939
437	730	936
438	731	934
439	732	932
440	733	929
441	734	927
442	735	924
443	736	922
444	737	920
445	738	917
446	741	916
447	742	914
448	742	911
449	743	909
450	744	906
451	745	904
452	747	902
453	748	899
454	749	897
455	750	895
456	751	892
457	752	890
458	753	888
459	754	885
460	755	883
461	756	881
462	757	878
463	758	876
464	759	874
465	760	871
466	761	869
467	762	866
468	763	864
469	764	862
470	766	860
471	767	858
472	768	855
473	769	853
474	770	851
475	771	849
476	772	847
477	773	844
478	774	842
479	775	840
480	776	838
481	778	836
482	779	834
483	780	832
484	781	829
485	782	827
486	783	825
487	784	823
488	785	820
489	787	819
490	788	817
491	789	815
492	790	812
493	791	810
494	792	808
495	793	806
496	794	803
497	795	801
498	796	799
499	797	797
500	798	795
501	799	793
502	800	791
503	801	788
504	802	786
505	803	784
506	804	782
507	805	780
508	806	777
509	807	775
510	809	774
511	809	772
512	811	770
513	812	768
514	813	766
515	814	764
516	815	762
517	816	760
518	817	758
519	819	756
520	820	754
521	821	752
522	822	750
523	823	748
524	825	746
525	826	744
526	827	742
527	828	740
528	829	738
529	830	736
530	831	734
531	832	732
532	833	730
533	834	728
534	835	726
535	836	724
536	837	722
537	838	720
538	840	718
539	841	716
540	841	714
541	842	712
542	843	710
543	844	708
544	846	706
545	847	704
546	848	702
547	849	700
548	851	699
549	852	697
550	853	695
551	854	693
552	855	691
553	856	689
554	857	687
555	858	685
556	859	683
557	860	681
558	861	679
559	862	677
560	863	675
561	865	674
562	866	672
563	867	670
564	868	668
565	869	667
566	871	665
567	872	663
568	873	661
569	874	659
570	875	657
571	876	656
572	877	654
573	879	652
574	879	650
575	881	648
576	882	646
577	883	645
578	884	643
579	885	641
580	886	639
581	887	637
582	888	635
583	890	634
584	891	632
585	892	630
586	893	628
587	894	626
588	895	625
589	897	623
590	898	621
591	899	619
592	900	617
593	901	616
594	902	614
595	904	612
